step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
12	ISS09	common_area	53.04	48.83	55.8	false	
13	ISS00	common_area	49.2	51.88	63.8	false	
13	ISS01	common_area	52.97	48.68	60.4	false	
13	ISS02	common_area	45.78	48.55	70.8	false	REPA01
13	ISS03	common_area	52.66	55.01	71.9	false	CONF02
13	ISS04	common_area	50.53	48.02	37.5	false	
13	ISS05	common_area	47.24	51.72	53.3	false	
13	ISS06	common_area	54.38	50.85	38.9	false	
13	ISS07	common_area	46.67	45.41	62.1	false	REPA01
13	ISS08	common_area	49.75	52.03	63.0	false	
13	ISS09	common_area	52.49	47.91	52.9	false	CONF02
14	ISS00	hab_module	26.63	51.7	47.3	false	
14	ISS01	common_area	52.38	47.78	50.0	false	
14	ISS02	common_area	45.54	50.0	65.8	false	
14	ISS03	common_area	54.15	53.87	68.8	false	CONF02
14	ISS04	common_area	49.86	47.96	29.9	false	
14	ISS05	common_area	47.95	52.53	48.1	false	
14	ISS06	common_area	54.42	49.38	56.8	false	
14	ISS07	common_area	45.35	46.75	41.5	false	
14	ISS08	common_area	50.43	52.0	59.9	false	
14	ISS09	common_area	51.68	47.21	58.4	false	CONF02
15	ISS00	hab_module	27.19	51.65	61.1	false	
15	ISS01	common_area	51.53	47.13	47.8	false	
15	ISS02	common_area	45.78	51.45	58.4	false	
15	ISS03	common_area	55.18	52.31	78.5	false	CONF02
15	ISS04	common_area	49.2	48.12	33.4	false	
15	ISS05	common_area	48.89	53.06	53.7	false	
15	ISS06	common_area	53.98	47.97	50.3	false	
15	ISS07	common_area	44.55	48.44	57.7	false	
15	ISS08	common_area	51.05	51.75	57.8	false	
15	ISS09	common_area	50.68	46.82	51.9	false	CONF02
16	ISS00	hab_module	27.7	51.41	62.3	false	
16	ISS01	common_area	50.51	46.79	65.3	false	
16	ISS02	common_area	46.48	52.75	52.4	false	
16	ISS03	common_area	55.65	50.49	61.5	false	REPA02
16	ISS04	common_area	48.63	48.48	34.2	false	
16	ISS05	common_area	49.94	53.25	63.3	false	
16	ISS06	common_area	53.1	46.79	48.6	false	
16	ISS07	common_area	44.33	50.3	51.9	false	
16	ISS08	common_area	51.57	51.32	61.7	false	
16	ISS09	common_area	49.6	46.77	31.8	false	REPA02
17	ISS00	hab_module	28.11	51.03	56.1	false	
17	ISS01	common_area	49.43	46.79	66.5	false	
17	ISS02	common_area	47.57	53.74	73.3	false	
17	ISS03	common_area	55.5	48.63	60.0	false	REPA02
17	ISS04	common_area	48.21	49.01	46.0	false	
17	ISS05	common_area	51.01	53.1	61.7	false	
17	ISS06	common_area	51.89	45.95	43.9	false	
17	ISS07	common_area	44.74	52.13	37.9	false	
17	ISS08	common_area	51.91	50.73	59.3	false	
17	ISS09	common_area	48.57	47.07	39.9	false	REPA02
18	ISS00	hab_module	28.37	50.53	59.2	false	
18	ISS01	common_area	48.42	47.15	50.1	false	
18	ISS02	common_area	48.92	54.33	55.4	false	
18	ISS03	common_area	54.76	46.91	68.2	false	REPA02
18	ISS04	common_area	47.99	49.64	48.4	false	
18	ISS05	common_area	51.96	52.6	56.0	false	
18	ISS06	common_area	50.47	45.56	44.4	false	
18	ISS07	common_area	45.72	53.72	60.8	false	
18	ISS08	common_area	52.04	50.07	52.2	false	
18	ISS09	common_area	47.7	47.7	40.2	false	REPA02
19	ISS00	hab_module	28.45	49.97	58.2	false	
19	ISS01	common_area	47.58	47.82	58.4	false	
19	ISS02	common_area	50.39	54.45	63.0	false	
19	ISS03	common_area	53.49	45.53	57.4	false	
19	ISS04	common_area	47.98	50.32	40.2	false	
19	ISS05	common_area	52.7	51.82	52.8	false	
19	ISS06	common_area	49.0	45.65	57.2	false	
19	ISS07	common_area	47.16	54.91	55.9	false	
19	ISS08	common_area	51.96	49.4	56.5	false	
19	ISS09	common_area	47.07	48.57	41.4	false	
20	ISS00	hab_module	28.35	49.42	60.1	false	
20	ISS01	common_area	47.0	48.73	72.2	false	
20	ISS02	common_area	51.82	54.08	62.7	false	CONF03
20	ISS03	common_area	51.85	44.64	63.9	false	
20	ISS04	common_area	48.19	50.96	45.5	false	
20	ISS05	common_area	53.14	50.84	59.1	false	CONF03
20	ISS06	common_area	47.63	46.21	46.7	false	
20	ISS07	common_area	48.92	55.57	54.2	false	
20	ISS08	common_area	51.66	48.8	65.2	false	
20	ISS09	common_area	46.77	49.6	41.2	false	
21	ISS00	hab_module	28.08	48.93	54.7	false	
21	ISS01	common_area	46.75	49.77	55.5	false	
21	ISS02	common_area	53.04	53.26	61.0	false	CONF03
21	ISS03	common_area	50.0	44.33	68.5	false	
21	ISS04	common_area	48.6	51.5	40.2	false	
21	ISS05	common_area	53.25	49.77	69.3	false	CONF03
21	ISS06	common_area	46.53	47.19	40.5	false	
21	ISS07	common_area	50.79	55.62	47.9	false	
21	ISS08	common_area	51.17	48.32	45.8	false	
21	ISS09	common_area	46.82	50.68	47.3	false	
22	ISS00	hab_module	27.65	48.55	43.8	false	
22	ISS01	common_area	46.86	50.84	47.7	false	
22	ISS02	common_area	53.94	52.1	77.0	false	CONF03
22	ISS03	common_area	48.15	44.64	65.1	false	
22	ISS04	common_area	49.17	51.87	32.9	false	
22	ISS05	common_area	53.0	48.73	64.2	false	CONF03
22	ISS06	common_area	45.81	48.47	44.1	false	
22	ISS07	common_area	52.58	55.05	44.0	false	
22	ISS08	common_area	50.56	48.03	62.0	false	
22	ISS09	common_area	47.21	51.68	35.6	false	
23	ISS00	hab_module	27.13	48.34	41.3	false	
23	ISS01	common_area	47.3	51.82	63.1	false	
23	ISS02	common_area	54.41	50.7	56.0	false	REPA03
23	ISS03	common_area	46.51	45.53	58.8	false	
23	ISS04	common_area	49.82	52.04	44.8	false	
23	ISS05	common_area	52.42	47.82	53.6	false	REPA03
23	ISS06	common_area	45.54	49.92	53.6	false	
23	ISS07	common_area	54.08	53.94	39.6	false	
23	ISS08	common_area	49.89	47.96	51.0	false	
23	ISS09	common_area	47.91	52.49	52.5	false	
24	ISS00	hab_module	26.57	48.3	52.5	false	
24	ISS01	common_area	48.04	52.6	65.3	false	
24	ISS02	common_area	54.4	49.22	65.5	false	REPA03
24	ISS03	common_area	45.24	46.91	69.6	false	
24	ISS04	common_area	50.49	51.99	49.4	false	
24	ISS05	common_area	51.58	47.15	48.7	false	REPA03
24	ISS06	common_area	45.75	51.38	48.8	false	
24	ISS07	common_area	55.14	52.4	53.9	false	
24	ISS08	common_area	49.23	48.1	56.5	false	
24	ISS09	common_area	48.83	53.04	52.1	false	
25	ISS00	hab_module	26.03	48.45	51.6	false	
25	ISS01	common_area	48.99	53.1	60.0	false	
25	ISS02	common_area	53.9	47.84	55.7	false	REPA03
25	ISS03	common_area	44.5	48.63	59.6	false	
25	ISS04	common_area	51.11	51.72	44.5	false	
25	ISS05	common_area	50.57	46.79	64.1	false	REPA03
25	ISS06	common_area	46.43	52.69	49.8	false	
25	ISS07	common_area	55.64	50.59	48.5	false	
25	ISS08	common_area	48.66	48.46	56.3	false	
25	ISS09	common_area	49.89	53.25	35.7	false	
26	ISS00	hab_module	25.57	48.77	51.6	false	
26	ISS01	common_area	50.06	53.25	52.0	false	
26	ISS02	common_area	52.99	46.68	59.2	false	
26	ISS03	common_area	44.35	50.49	71.3	false	
26	ISS04	common_area	51.61	51.26	50.2	false	
26	ISS05	common_area	49.49	46.79	51.0	false	
26	ISS06	common_area	47.5	53.7	42.4	false	
26	ISS07	common_area	55.53	48.72	51.5	false	
26	ISS08	common_area	48.23	48.98	65.0	false	
26	ISS09	common_area	50.95	53.11	50.6	false	
27	ISS00	hab_module	25.23	49.23	71.7	false	CONF04
27	ISS01	common_area	51.11	53.06	58.7	false	
27	ISS02	common_area	51.74	45.89	72.9	false	
27	ISS03	common_area	44.82	52.31	58.3	false	
27	ISS04	common_area	51.93	50.67	57.1	false	
27	ISS05	common_area	48.47	47.13	61.7	false	
27	ISS06	common_area	48.84	54.31	41.1	false	
27	ISS07	common_area	54.81	46.99	53.3	false	
27	ISS08	common_area	47.99	49.61	61.8	false	CONF04
27	ISS09	common_area	51.91	52.63	46.5	false	
28	ISS00	hab_module	25.06	49.76	62.2	false	CONF04
28	ISS01	common_area	52.05	52.53	58.0	false	
28	ISS02	common_area	50.31	45.55	67.4	false	
28	ISS03	common_area	45.85	53.87	65.3	false	
28	ISS04	common_area	52.05	50.0	35.0	false	
28	ISS05	common_area	47.62	47.78	60.3	false	
28	ISS06	common_area	50.31	54.45	54.8	false	
28	ISS07	common_area	53.57	45.59	37.0	false	
28	ISS08	common_area	47.97	50.28	74.8	false	CONF04
28	ISS09	common_area	52.67	51.87	39.0	false	
29	ISS00	hab_module	25.08	50.33	54.6	false	CONF04
29	ISS01	common_area	52.76	51.72	62.5	false	
29	ISS02	common_area	48.84	45.69	53.4	false	
29	ISS03	common_area	47.34	55.01	52.1	false	
29	ISS04	common_area	51.93	49.33	38.7	false	
29	ISS05	common_area	47.03	48.68	64.5	false	
29	ISS06	common_area	51.74	54.11	43.5	false	
29	ISS07	common_area	51.94	44.67	40.3	false	
29	ISS08	common_area	48.18	50.93	69.4	false	CONF04
29	ISS09	common_area	53.13	50.9	35.7	false	
30	ISS00	hab_module	25.27	50.85	43.0	false	REPA04
30	ISS01	common_area	53.17	50.73	50.9	false	
30	ISS02	common_area	47.5	46.3	53.6	false	
30	ISS03	common_area	49.11	55.6	60.0	false	
30	ISS04	common_area	51.61	48.74	50.0	false	
30	ISS05	common_area	46.76	49.72	61.7	false	
30	ISS06	common_area	52.99	53.32	48.0	false	
30	ISS07	common_area	50.1	44.33	55.4	false	
30	ISS08	common_area	48.58	51.47	60.4	false	REPA04
30	ISS09	common_area	53.25	49.83	39.0	false	
31	ISS00	hab_module	25.63	51.29	59.6	false	REPA04
31	ISS01	common_area	53.24	49.66	65.6	false	
31	ISS02	common_area	46.43	47.31	61.0	false	
31	ISS03	common_area	50.99	55.59	69.3	false	
31	ISS04	common_area	51.11	48.28	52.4	false	
31	ISS05	common_area	46.84	50.79	59.1	false	
31	ISS06	common_area	53.9	52.16	42.1	false	
31	ISS07	common_area	48.25	44.6	59.2	false	
31	ISS08	common_area	49.14	51.85	63.0	false	REPA04
31	ISS09	common_area	53.02	48.78	39.5	false	
32	ISS00	hab_module	26.11	51.58	59.8	false	REPA04
32	ISS01	common_area	52.95	48.62	56.2	false	
32	ISS02	common_area	45.75	48.62	68.6	false	
32	ISS03	common_area	52.75	54.96	60.5	false	
32	ISS04	common_area	50.49	48.01	42.4	false	
32	ISS05	common_area	47.27	51.77	55.6	false	
32	ISS06	common_area	54.4	50.78	41.5	false	
32	ISS07	common_area	46.59	45.47	51.8	false	
32	ISS08	common_area	49.79	52.03	60.3	false	REPA04
